"","LINKCODE","CASEID","GRNID","YEAR","LANG","ITWMETHOD","GDREGION","REGLING","REGURB","TYPCOM","SIZECOM","OFS4","OFS6","OFSTXT4","OFSTXT6","TRAD3","TRAD6","TRAD12","TRAD35","RTENURE","FOUNDED","UPFUSION","UPNUMBER","UPNUMBERcorr","MERGE","HAVEDEN","BLDGTYPE","OWNBLDG","OFFMBRLIST","NUMOFFMBR","NUMTOTAL","NUMREGLR","IMPNUMREGLR","NUMADLTS","CHANGE","CHANGE10","PARISHW1","PARISHW2","LEGALDEF","RECYCLE","GRNELEC","GRNRG","CLERGONE","CLERGYOU","CLERGSEX","CLERGAGE","CLERGBORN","CLERGNAT","CLERGNAT1","CLERGNAT2","FORMLEVEL","SWISSORG","CLERGRAD","CLERFORM","CLERPAID","CLERWKPCT","CLERFT","STRGPLAN","BOARDNUM","BOARDGEN","BRDGENPCT","STAFFNUM","STAFFGEN","STAFFWMPCT","FTSTAFF","FTSTAFFWM","STFTWMPCT","FTSTFCHG","FTSTFCHG10","OUTUPSTF","OUTUPFTSTF","OUTUPWMSTF","VLTRS","WMVLTRS","LOCSERV","NUMSERV1","CVDWSHP","NUMCVDWSHP","LASTSERV","LENGTH","SERMON","SERMTIME","SINGING","SINGWAY","MUSICMIN","INSTMENT","ORGAN","PIANO","DRUMS","GUITAR","GONG","BELLS","COMNGO","RITGEST","STAND","SIT","GENDERSEP","JUMP","MEDITATE","CONGREAD","SPONPRAY","APPLAUSE","LAUGH","OVERHEAD","ROBE","RELOBJECTS","TONGUES","INERRANT","RICHFAITH","GRNWSHP","NGRNWSHP","GRNSERMON","GRNREL","NUMATTND","MAINLANG","NATLANG","OTHLANG","OTHLANG1","OTHLANG2","JOINTWOR","TRADWOR","CATHWOR","CATCHWOR","REFWOR","EVANWOR","ORTHWOR","XOTHWOR","JEWWOR","MUSLMWOR","BUDWOR","HINDWOR","KIDCLASS","FRQKIDCL","CLS13_14W1","CLS13_14W2","TEENRGLR","YTHMNSTR","YTHGRP","WOMGRP","MENGRP","CHORUS","LRNLANG","NEWMEMS","OTHTRAD","GRNGRP","OTHGRPS","POLITICS","POLSENSIB","SIGNTURE","LISSUE1","LISSUE2","LISSUE3","GRNPUB","GRNSTRIKE","GRNORGXCHNG","GRNORGA1","GRNORGA2","GRNORGA3","GRNAWR","GRNAWRBG","GRNAWRLD","CVCONTACT","CVSUPPRT","SOCLSERV","TYPSERV1","TYPSERV2","TYPSERV3","PLNTCONG","COMPRELMBR","COMPRELYNG","COMPLEISR","COMPWRK","RECRUIT","ADVERT","INVITE","RECRVISIT","RECRCONF","EMAIL","WEBSITE","WSHPWEB","SOCNETACT","DISCRIM","INCOME","CVDBFINCOM","CLERBUDG","CLERSLRY","FEMPCT","GT60PCT","LT35PCT","BAPCT","POORPCT","RICHPCT","EUCHPCT","EURNOCHPCT","SWISSPCT","MREURCTRY","MROTHREG","MBRALCMD","MBRCOHBT","MBRGAY","LDRALCMD","LDRCOHBT","LDRGAY","WMNVLTR","WMNBRD","WMNTCH","WMNPRCH","WMNLEAD","LIBCON","LIBCONDTL","THEOLOGY","THEOLOGYDTL","EVNGLCAL","CATHMVT","UPTREATED","coefRedMbrs","coefRedStf","coefSample","coefUp","w1Cong","w3AttCong","combined","STATUS"
"57",102354,4499,NA,"2022","Allemand","CATI","Suisse centrale","Région linguistique allemande","Intermédiaire (périurbain dense et centres ruraux)","Commune d’un centre rural",4308,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",2019,1622,"Oui",3,3,"Non","Oui","Oui","Propriétaire","Oui",1000,133.333333333333,66.6666666666667,66.6666666666667,50,"A diminué de moins de 10%","A diminué de moins de 10%",NA,"Oui","Association","Non","Oui","Oui","Oui","Oui","Homme",49,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",100,NA,"Oui",2.33333333333333,1,42.8571428571429,22.6624630541872,15.6666666666667,69.1304675454156,1.33333333333333,0.333333333333333,25,"S’est globalement maintenu","S’est globalement maintenu","Oui",0,8,133.333333333333,93.3333333333333,5,6,"Oui","Plus qu'une fois par semaine","Moins d'une semaine",60,"Oui",5,"Oui","Cantique/feuilles",20,"Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Oui","Oui","Non","Non","Oui","Oui","Oui","Non","Non","Non","Non","Oui",4,"Oui","Oui",50,"Suisse-Allemand","Langue principale est une langue nationale","Oui","Allemand","Latin","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Oui","Oui","Non","Oui","Au moins une fois par semaine",NA,"Oui",83.3333333333333,"Oui","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Non","Oui","Non","Non",NA,NA,NA,"Oui","Non","Oui","Caritas","Action de Carême",NA,"Oui",2019,"De la direction de la communauté","Oui","Oui","Oui","Entraide / développement","Entraide / développement","Entraide / développement","Non","Pas de concurrence","Pas de concurrence","Forte concurrence","Forte concurrence","Oui","Non","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non",1333333.33333333,4,"Oui",120000,70,70,5,10,NA,40,NA,18,80,"Allemagne","Afrique subsaharienne","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","De gauche","Modérément de gauche","Plus sur l'aile libérale","Modérément libérale",NA,1,"Oui",1,1,1.83833531712294,0.74859287054409,1.49397855743132,0.831781546278091,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"58",102432,4752,NA,"2022","Allemand","CATI","Zürich","Région linguistique allemande","Urbain","Commune urbaine d’une grande agglomération",27746,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",2016,NA,"Non",1,1,"Oui","Oui","Oui","Propriétaire","Oui",8100,800,400,400,350,"A diminué de 10% ou plus","A diminué de 10% ou plus",NA,"Oui","Association","Oui","Non","Oui","Oui","Oui","Homme",51,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",100,NA,"Oui",5,3,60,35,21,60,20,10,50,"S’est globalement maintenu","A diminué",NA,NA,NA,300,220,3,10,"Oui","Plus qu'une fois par semaine","Moins d'une semaine",45,"Oui",5,"Oui","Cantique/feuilles",5,"Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non",NA,"Oui","Oui",18,"Suisse-Allemand","Langue principale est une langue nationale","Non","Pas de deuxième langue","Pas de troisième langue","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par semaine",NA,"Oui",120,"Oui","Oui","Oui","Oui","Oui","Non","Oui","Oui","Oui","Oui","Non","Oui","Non",NA,NA,NA,"Non","Non","Oui",NA,NA,NA,"Oui",NA,"De l'association faîtière","Oui","Oui","Oui","Entraide / développement","Action sociale en Suisse","Mission","Non","Faible concurrence","Faible concurrence","Forte concurrence","Forte concurrence","Oui","Non","Oui","Non","Oui","Oui","Oui","Oui","Oui","Oui",4e+06,4,"Oui",120000,65,60,10,10,15,15,NA,40,40,"Italie","Amérique latine","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Non","Au centre","Au centre","Juste au milieu","Au millieu",NA,3,"Non",1,1,1.83833531712294,0.24953095684803,0.497992852477107,4.99068927766855,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"59",101493,5328,NA,"2022","Allemand","CATI","Zürich","Région linguistique allemande","Urbain","Commune urbaine d’une grande agglomération",420217,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",1993,1934,"Non",1,1,"Non","Oui","Oui","Bénéficie gratuitement","Oui",6200,1000,600,600,500,"A diminué de 10% ou plus","S'est globalement maintenu",NA,"Oui","Association","Non","Oui",NA,"Oui","Oui","Homme",55,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",80,NA,"Oui",7,5,71.4285714285714,34,20,58.8235294117647,0,0,NA,"S’est globalement maintenu","S’est globalement maintenu",NA,NA,NA,200,100,1,15,"Non","Pas de célébrations religieuses virtuelles","Moins d'une semaine",45,"Oui",10,"Oui","Projetées",25,"Oui","Non","Oui","Non","Oui","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Non",NA,"Oui","Oui",200,"Allemand","Langue principale est une langue nationale","Oui","Anglais","Italien","Oui",NA,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par semaine",NA,"Non",200,"Oui","Non","Non","Non","Oui","Oui","Non","Non","Oui","Non","Oui","Oui","Non",NA,NA,NA,"Oui","Non","Oui","Oeku",NA,NA,"Oui",2018,"D'ailleurs","Oui","Oui","Oui",NA,NA,NA,"Non","Pas de concurrence","Pas de concurrence","Pas de concurrence","Pas de concurrence","Oui","Non","Non","Oui","Non","Oui","Oui","Non","Oui","Non",3e+06,3e+06,"Oui",1e+05,70,60,16.6666666666667,10,5,20,NA,20,30,"Allemagne","Asie","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Non","De gauche","Fortement de gauche","Plus sur l'aile libérale","Modérément libérale",NA,5,"Non",1,1,1.83833531712294,0.24953095684803,0.497992852477107,7.48603391650282,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"60",102368,842,153,"2022","Allemand","CATI","Suisse orientale","Région linguistique allemande","Urbain","Commune urbaine d'une agglomération moyenne",76090,1111,111101,"Eglises nationales protestantes","Eglise évangélique réformée nationale","Chrétiennes établies","Chrétiennes","Protestantes réformées","Protestantes réformées",2022,NA,NA,NA,NA,"Non","Oui","Oui","Propriétaire","Oui",6000,700,350,350,350,"S'est globalement maintenu","A diminué de 10% ou plus",NA,"Oui","Association","Oui","Oui","Oui","Oui","Oui","Homme",59,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",60,NA,"Oui",15,8,53.3333333333333,34,18,52.9411764705882,NA,NA,NA,"A diminué","A diminué",NA,NA,NA,500,NA,6,10,"Oui","Entre une fois par mois et une fois par semaine","Moins d'une semaine",50,"Oui",15,"Oui","Cantique/feuilles",20,"Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Non","Oui","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Oui",NA,"Oui","Oui",20,"Suisse-Allemand","Langue principale est une langue nationale","Non","Pas de deuxième langue","Pas de troisième langue","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",NA,NA,"Oui",40,"Oui",NA,"Oui","Non","Oui","Oui","Non","Oui","Oui","Non","Oui","Oui","Oui","Environnement","Droits d'asile / migration",NA,"Oui","Non","Oui","Oeku","EPER/Pain pour le prochain",NA,"Oui",NA,"De la direction de la communauté","Oui","Oui","Oui","Entraide / développement","Action sociale en Suisse",NA,"Non","Pas de concurrence",NA,NA,"Forte concurrence","Oui","Oui","Non","Non","Oui","Oui","Oui","Non","Non","Non",1e+06,NA,"Oui",130000,75,90,5,25,NA,NA,NA,5,90,"Allemagne",NA,"Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","De gauche","Légèrement de gauche","Plus sur l'aile libérale","Légèrement libérale",15,NA,"Non",1,1,0.35768941142177,1,0.35768941142177,0.849669321466867,"Reformed Protestant greenSampling noMission noJehovah","Présente en 2009 et en 2023"
"61",100110,84,296,"2022","Allemand","CATI","Espace Mittelland","Région linguistique allemande","Intermédiaire (périurbain dense et centres ruraux)","Commune périurbaine de forte densité",11572,1111,111101,"Eglises nationales protestantes","Eglise évangélique réformée nationale","Chrétiennes établies","Chrétiennes","Protestantes réformées","Protestantes réformées",2022,1528,NA,NA,NA,"Non","Oui","Oui","Propriétaire","Oui",6000,600,250,250,150,"S'est globalement maintenu","A diminué de moins de 10%",NA,"Oui","Association","Oui","Oui","Non","Oui","Oui","Femme",38,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",60,NA,"Oui",9,5,55.5555555555556,30,20,66.6666666666667,1,1,100,"S’est globalement maintenu","A diminué",NA,NA,NA,100,75,2,1,"Oui","Une fois par mois ou moins","Moins d'un mois",60,"Oui",8,"Oui","Cantique/feuilles",20,"Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Des chaises","Non","Non","Oui","Oui","Non","Non","Oui","Non","Oui","Non","Non","Non","Non","Oui",4,"Oui","Oui",40,"Suisse-Allemand","Langue principale est une langue nationale","Oui","Allemand","Français","Oui","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par mois",NA,"Oui",140,"Oui","Oui","Oui","Oui","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non",NA,NA,NA,"Non","Non","Oui","Commune ou canton","Autres","Autres","Oui",2020,"De la direction de la communauté","Oui","Oui","Oui","Entraide / développement","Action sociale en Suisse",NA,"Non","Forte concurrence","Forte concurrence","Forte concurrence","Faible concurrence","Oui","Non","Non","Oui","Non","Oui","Oui","Non","Oui","Non",NA,NA,"Non",90000,70,70,10,30,10,30,NA,57.5,42.5,"Allemagne","Moyen-Orient","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Au centre","Au centre","Plus sur l'aile libérale","Modérément libérale",15,NA,"Non",1,1,0.35768941142177,1,0.35768941142177,0.606906658190619,"Reformed Protestant greenSampling noMission noJehovah","Présente en 2009 et en 2023"
"62",100253,356,184,"2022","Allemand","CATI","Suisse orientale","Région linguistique allemande","Urbain","Commune urbaine d'une agglomération moyenne",9504,1111,111101,"Eglises nationales protestantes","Eglise évangélique réformée nationale","Chrétiennes établies","Chrétiennes","Protestantes réformées","Protestantes réformées",2016,1920,NA,NA,NA,"Non","Oui","Oui","Propriétaire","Oui",3843,300,200,200,200,"S'est globalement maintenu","A diminué de 10% ou plus",NA,"Oui","Association","Oui","Oui","Oui","Oui","Oui","Femme",62,"Suisse","Suisse","Suisse",NA,"Hautes-école spécialisée ou pédagogique (HES, HEP)","Suisse d'origine","Non",NA,"Oui",80,NA,"Oui",10,6,60,30,20,66.6666666666667,2,0,0,"S’est globalement maintenu","S’est globalement maintenu",NA,NA,NA,150,75,3,2,"Oui","Plus qu'une fois par semaine","Moins d'une semaine",50,"Oui",10,"Oui","Cantique/feuilles",30,"Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Des chaises","Non","Non","Oui","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Oui",3,"Oui","Oui",20,"Suisse-Allemand","Langue principale est une langue nationale","Oui","Allemand","Latin","Oui","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par mois",NA,"Oui",120,"Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","Oui","Non","Non","Oui","Non",NA,NA,NA,"Non","Non","Oui","Oeku","EPER/Pain pour le prochain",NA,"Oui",2020,"De la direction de la communauté","Oui","Oui","Oui","Entraide / développement","Mission","Entraide / développement","Non","Faible concurrence","Faible concurrence","Forte concurrence","Forte concurrence","Oui","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non",2e+06,NA,"Oui",80000,100,NA,10,15,5,25,NA,10,NA,NA,"Europe de l'Ouest","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Au centre","Au centre","Plus sur l'aile libérale","Fortement libérale",10,NA,"Non",1,1,0.35768941142177,1,0.35768941142177,0.485525326552496,"Reformed Protestant greenSampling noMission noJehovah","Présente en 2009 et en 2023"
"63",100364,208,NA,"2022","Allemand","CATI","Suisse orientale","Région linguistique allemande","Urbain","Commune urbaine d'une agglomération moyenne",37082,1111,111101,"Eglises nationales protestantes","Eglise évangélique réformée nationale","Chrétiennes établies","Chrétiennes","Protestantes réformées","Protestantes réformées",1996,1523,NA,NA,NA,"Non","Oui","Oui","Propriétaire","Oui",9600,400,400,400,300,"A diminué de 10% ou plus","A diminué de 10% ou plus",NA,"Oui","Association","Non","Non","Oui","Oui","Oui","Femme",61,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",80,NA,"Oui",4,3,75,30,15,50,7,2,28.5714285714286,"S’est globalement maintenu","A augmenté",NA,NA,NA,80,60,10,6,"Oui","Entre une fois par mois et une fois par semaine","Moins d'une semaine",50,"Oui",12,"Oui","Cantique/feuilles",12,"Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Non","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Oui",3,"Oui","Non",50,"Suisse-Allemand","Langue principale est une langue nationale","Oui","Anglais","Autres","Oui","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par mois",NA,"Oui",60,"Oui","Oui","Oui","Non","Oui","Non","Non","Oui","Non","Oui","Oui","Non","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Oui",2020,"De la direction de la communauté","Oui","Oui","Oui","Mission","Entraide / développement",NA,"Non","Forte concurrence","Très forte concurrence","Forte concurrence","Forte concurrence","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non",NA,NA,"Oui",140000,70,90,1,10,10,5,NA,NA,100,NA,NA,"Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","De droite","Modérément de droite","Juste au milieu","Au millieu",70,NA,"Non",1,1,0.810448903247747,1,0.810448903247747,2.20019634821947,"Reformed Protestant noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"64",100517,4129,NA,"2022","Français","CAWI","Espace Mittelland","Région linguistique française","Rural","Commune périurbaine de faible densité",1744,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",2011,1880,NA,1,13,"Non","Oui","Oui","Propriétaire","Oui",1288,50,20,20,15,"A diminué de 10% ou plus","A diminué de 10% ou plus",NA,"Oui","Association","Non","Oui","Oui","Oui","Non","Homme",NA,"Suisse","Suisse","Suisse",NA,NA,"Suisse d'origine",NA,NA,"Oui",70,NA,"Oui",5,3,60,30,18,60,0,0,NA,NA,NA,NA,NA,NA,30,20,1,1,"Non","Pas de célébrations religieuses virtuelles","Moins d'un mois",60,"Oui",15,"Oui","Cantique/feuilles",15,"Non","Non","Non","Non","Non","Non","Non",NA,NA,"Non","Des bancs","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Il n'y a pas d'écritures sacrées","Non","Non",NA,"Oui","Oui",35,"Français","Langue principale est une langue nationale","Oui","Autres","Pas de troisième langue","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui",NA,NA,"Oui",25,"Oui","Oui",NA,NA,"Oui",NA,NA,NA,NA,"Oui","Non","Non","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Non",NA,NA,"Oui","Non","Oui",NA,NA,NA,"Non",NA,NA,NA,NA,"Non","Non","Non","Non","Non","Oui","Non",NA,"Non","Non",NA,NA,"Oui",NA,35,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non",1,1,1.83833531712294,3.24390243902439,6.47390708220239,0.249534463883427,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"65",100800,314,NA,"2022","Français","CATI","Espace Mittelland","Région linguistique française","Urbain","Commune urbaine d'une agglomération moyenne",38197,1111,111101,"Eglises nationales protestantes","Eglise évangélique réformée nationale","Chrétiennes établies","Chrétiennes","Protestantes réformées","Protestantes réformées",2009,1852,NA,NA,NA,"Non","Oui","Oui","Propriétaire","Oui",6500,6500,400,400,200,"A diminué de 10% ou plus","A diminué de moins de 10%",NA,"Oui","Association","Oui","Non","Non","Oui","Oui","Homme",59,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",100,NA,"Oui",9,4,44.4444444444444,30,17,56.6666666666667,7,3,42.8571428571429,"S’est globalement maintenu","S’est globalement maintenu",NA,NA,NA,40,25,1,2,"Non","Pas de célébrations religieuses virtuelles","Moins d'une semaine",75,"Oui",15,"Oui","Projetées",20,"Oui","Oui","Non","Non","Oui","Non","Non","Oui","Non","Non","Des bancs","Non","Non","Non","Oui","Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Oui",10,"Oui","Non",150,"Français","Langue principale est une langue nationale","Oui","Allemand","Pas de troisième langue","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Oui","Au moins une fois par semaine",NA,"Oui",120,"Non","Oui","Non","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Non",NA,NA,NA,"Non","Non","Oui","Oeku","Autres","EPER/Pain pour le prochain","Non",NA,NA,"Oui","Non","Oui","Action sociale en Suisse",NA,NA,"Non","Faible concurrence","Pas de concurrence","Pas de concurrence","Forte concurrence","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Non",2e+06,NA,"Oui",120000,50,40,30,50,1,NA,NA,10,80,"Allemagne","Afrique subsaharienne","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Au centre","Au centre","Plus sur l'aile libérale","Légèrement libérale",10,NA,"Non",1,1,0.810448903247747,1,0.810448903247747,2.20019634821947,"Reformed Protestant noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
"66",100869,4101,136,"2022","Allemand","CATI","Suisse orientale","Région linguistique allemande","Rural","Commune rurale en situation centrale",2207,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",2020,1900,"Oui",2,2,"Non","Oui","Oui","Propriétaire","Oui",3400,225,225,225,75,"A diminué de 10% ou plus","A diminué de moins de 10%",NA,"Oui","Association","Oui",NA,"Non","Oui","Oui","Homme",47,"Macédoine du Nord","Double nationalité","Double nationalité","Europe de l'Ouest","Université, EPF","Suisse par acquisition ou par mariage","Oui",NA,"Oui",100,NA,"Oui",3,1.5,50,15,10,66.6666666666667,1.5,0,0,"S’est globalement maintenu","S’est globalement maintenu",NA,NA,NA,55,35,13,22,"Oui","Une fois par mois ou moins","Moins d'une semaine",50,"Oui",10,"Oui","Cantique/feuilles",20,"Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Oui","Oui","Non","Non","Non","Non","Oui","Oui","Non","Non","Non","Oui",1,"Oui","Oui",20,"Allemand","Langue principale est une langue nationale","Oui","Latin","Autres","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par semaine",NA,"Oui",7.5,"Oui","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Oui",2019,"Des membres","Oui","Oui","Oui","Entraide / développement","Entraide / développement",NA,"Non","Pas de concurrence","Faible concurrence","Forte concurrence","Forte concurrence","Oui","Oui","Non","Non","Non","Oui","Oui","Non","Non","Non",NA,NA,"Oui",110000,15.5555555555556,80,5,NA,NA,NA,NA,75,25,"Italie","Amérique latine","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Au centre","Au centre","Juste au milieu","Au millieu",NA,30,"Oui",1,1,0.904342373745962,0.49906191369606,0.490490778980861,1.38099214387098,"Catholic greenSampling noMission noJehovah","Présente en 2009 et en 2023"
"67",101077,5198,NA,"2022","Allemand","CAWI","Suisse centrale","Région linguistique allemande","Urbain","Commune urbaine d’une petite ou hors agglomération",4624,1211,121101,"Eglise catholique romaine","Eglise catholique romaine","Chrétiennes établies","Chrétiennes","Catholiques romaines","Catholiques romaines",2006,NA,"Non",1,1,"Non","Oui","Oui","Propriétaire","Oui",6600,1100,700,700,660,"A diminué de moins de 10%","A diminué de 10% ou plus",NA,"Oui","Association","Non",NA,"Oui","Oui","Oui","Homme",53,"Suisse","Suisse","Suisse",NA,"Université, EPF","Suisse d'origine","Oui",NA,"Oui",80,NA,"Oui",18,6,33.3333333333333,30,14,46.6666666666667,4,0,0,"S’est globalement maintenu","S’est globalement maintenu",NA,NA,NA,350,200,3,10,"Non","Pas de célébrations religieuses virtuelles","Moins d'une semaine",55,"Non",NA,"Oui","Cantique/feuilles",15,"Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Des bancs","Non","Non","Oui","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non","Non",NA,"Oui","Oui",140,"Allemand","Langue principale est une langue nationale","Non","Pas de deuxième langue","Pas de troisième langue","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Au moins une fois par semaine",NA,"Non",6,"Non","Oui","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non",NA,NA,NA,"Non","Non","Non",NA,NA,NA,"Non",NA,NA,"Oui","Oui","Oui",NA,"Entraide / développement",NA,"Non","Pas de concurrence","Pas de concurrence","Forte concurrence","Faible concurrence","Oui","Oui","Oui","Non",NA,"Oui","Oui","Oui","Oui","Non",2e+06,2,"Oui",101000,85.7142857142857,65,10,NA,21.4285714285714,NA,NA,6,92,"Italie",NA,"Oui","Oui","Oui","Oui","Oui",NA,"Oui","Oui","Oui","Oui","Non","Au centre","Au centre","Juste au milieu","Au millieu",NA,64.2857142857143,"Non",1,1,1.83833531712294,0.24953095684803,0.497992852477107,8.73370623591996,"Catholic noGreenSampling noMission noJehovah","Présente en 2009 et en 2023"
